File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/python_humaneval//HumanEval_0.py,3,2,1,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_0.py.log
dataset/python_humaneval//HumanEval_1.py,7,5,6,1,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_1.py.log
dataset/python_humaneval//HumanEval_10.py,4,0,1,0,0,0,2,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_10.py.log
dataset/python_humaneval//HumanEval_100.py,2,0,0,1,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_100.py.log
dataset/python_humaneval//HumanEval_101.py,1,1,0,1,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_101.py.log
dataset/python_humaneval//HumanEval_102.py,3,2,0,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_102.py.log
dataset/python_humaneval//HumanEval_103.py,2,1,0,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_103.py.log
dataset/python_humaneval//HumanEval_104.py,4,1,1,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_104.py.log
dataset/python_humaneval//HumanEval_105.py,11,9,1,1,0,0,1,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_105.py.log
dataset/python_humaneval//HumanEval_106.py,6,5,1,4,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_106.py.log
dataset/python_humaneval//HumanEval_107.py,4,3,3,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_107.py.log
dataset/python_humaneval//HumanEval_108.py,3,1,0,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_108.py.log
dataset/python_humaneval//HumanEval_109.py,4,2,1,0,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_109.py.log
dataset/python_humaneval//HumanEval_11.py,1,0,0,1,0,0,0,existing_benchmarks//humaneval/1685df23332c972bf5f48154cf6d4a1cac831eeb/dataset_python_humaneval__HumanEval_11.py.log
