File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/python_avatar//atcoder_ABC042_A.py,2,1,0,0,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC042_A.py.log
dataset/python_avatar//atcoder_ABC043_B.py,4,2,1,0,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC043_B.py.log
dataset/python_avatar//atcoder_ABC051_A.py,1,0,0,0,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC051_A.py.log
dataset/python_avatar//atcoder_ABC070_B.py,2,1,0,0,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC070_B.py.log
dataset/python_avatar//atcoder_ABC089_C.py,7,1,1,4,3,0,6,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC089_C.py.log
dataset/python_avatar//atcoder_ABC104_C.py,8,5,9,1,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC104_C.py.log
dataset/python_avatar//atcoder_ABC105_D.py,2,0,0,3,5,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC105_D.py.log
dataset/python_avatar//atcoder_ABC106_C.py,10,2,1,5,7,0,3,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC106_C.py.log
dataset/python_avatar//atcoder_ABC107_C.py,9,7,5,4,0,0,1,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC107_C.py.log
dataset/python_avatar//atcoder_ABC107_D.py,10,3,0,7,0,0,4,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC107_D.py.log
dataset/python_avatar//atcoder_ABC108_B.py,1,0,0,0,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC108_B.py.log
dataset/python_avatar//atcoder_ABC109_B.py,4,2,2,3,1,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC109_B.py.log
dataset/python_avatar//atcoder_ABC110_C.py,3,2,0,0,2,0,2,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC110_C.py.log
dataset/python_avatar//atcoder_ABC111_C.py,24,12,21,5,0,0,0,existing_benchmarks//avatar/1fc6b62726e713376d5e52b358b2e75682ae5e5e/dataset_python_avatar__atcoder_ABC111_C.py.log
